,gt_value,date,region,date_obtained,term_topic
364,0.0,2009-11-01,CH-AG,2021-03-31.xlsx,meth
365,0.0,2009-12-01,CH-AG,2021-03-31.xlsx,meth
366,0.0,2010-01-01,CH-AG,2021-03-31.xlsx,meth
367,0.0,2010-02-01,CH-AG,2021-03-31.xlsx,meth
368,0.0,2010-03-01,CH-AG,2021-03-31.xlsx,meth
369,0.0,2010-04-01,CH-AG,2021-03-31.xlsx,meth
370,0.0,2010-05-01,CH-AG,2021-03-31.xlsx,meth
371,0.0,2010-06-01,CH-AG,2021-03-31.xlsx,meth
372,0.0,2010-07-01,CH-AG,2021-03-31.xlsx,meth
373,0.0,2010-08-01,CH-AG,2021-03-31.xlsx,meth
374,0.0,2010-09-01,CH-AG,2021-03-31.xlsx,meth
375,0.0,2010-10-01,CH-AG,2021-03-31.xlsx,meth
376,0.0,2010-11-01,CH-AG,2021-03-31.xlsx,meth
377,0.0,2010-12-01,CH-AG,2021-03-31.xlsx,meth
378,0.0,2011-01-01,CH-AG,2021-03-31.xlsx,meth
379,0.0,2011-02-01,CH-AG,2021-03-31.xlsx,meth
380,25.0,2011-03-01,CH-AG,2021-03-31.xlsx,meth
381,0.0,2011-04-01,CH-AG,2021-03-31.xlsx,meth
382,30.0,2011-05-01,CH-AG,2021-03-31.xlsx,meth
383,0.0,2011-06-01,CH-AG,2021-03-31.xlsx,meth
384,43.0,2011-07-01,CH-AG,2021-03-31.xlsx,meth
385,0.0,2011-08-01,CH-AG,2021-03-31.xlsx,meth
386,26.0,2011-09-01,CH-AG,2021-03-31.xlsx,meth
387,0.0,2011-10-01,CH-AG,2021-03-31.xlsx,meth
388,0.0,2011-11-01,CH-AG,2021-03-31.xlsx,meth
389,0.0,2011-12-01,CH-AG,2021-03-31.xlsx,meth
390,0.0,2012-01-01,CH-AG,2021-03-31.xlsx,meth
391,0.0,2012-02-01,CH-AG,2021-03-31.xlsx,meth
392,33.0,2012-03-01,CH-AG,2021-03-31.xlsx,meth
393,32.0,2012-04-01,CH-AG,2021-03-31.xlsx,meth
394,0.0,2012-05-01,CH-AG,2021-03-31.xlsx,meth
395,0.0,2012-06-01,CH-AG,2021-03-31.xlsx,meth
